"a","b","c","d"
2.55928949935495,1.33322797958364,2.27502893783899,0.550863348474255
2.62979378861626,1.38693659192324,2.26045511581471,0.541539525485184
2.64621862194745,1.3806919902676,2.28287807134108,0.549832971546646
2.65214226487898,1.36791932367574,2.26785993436221,0.548404228900033
2.58988339540545,1.35190557284911,2.2671558402146,0.552559713686841
2.64094924733437,1.35847490833686,2.27101234428988,0.540924504718996
2.64087676560658,1.36553127337783,2.35321031569255,0.568293415188677
2.71079567978186,1.36536731209341,2.3519331146761,0.578228003988814
2.76466092377344,1.42179261360093,2.33266553391391,0.58262251956024
2.79847464627164,1.39137354033925,2.47170738008572,0.600627313794253
2.77602966460726,1.45284877466696,2.46424243239889,0.61943130551792
2.81620821447327,1.39592080156861,2.4523926749282,0.592860582841132
2.72032482385343,1.41122736694301,2.47695010314947,0.630274094258549
2.75180903118219,1.38390773967795,2.41940482793812,0.592849063389333
2.81133577947844,1.41366987798734,2.43095894244677,0.597573333663424
2.64173626166876,1.35409579564481,2.41183332018089,0.588744099811151
2.62217690140773,1.31951915737674,2.46004301953981,0.610807606329048
2.68657844225044,1.35691999401301,2.47943145619187,0.614318721373403
2.74688109760266,1.39142266225564,2.386311637357,0.600865810845934
2.736481446508,1.35965860589468,2.37800166649776,0.578476337661955
2.75453833279108,1.37572244421944,2.38868741488334,0.591661425833863
2.80154036531672,1.38320864254598,2.34583937135598,0.580033045166095
2.73851045044001,1.37669988118228,2.37952761673668,0.601176380552371
2.69234319532548,1.33812384038087,2.41400399686169,0.604036513367342
2.67107563324268,1.29100293695857,2.4253503036835,0.59430090201038
2.66570235800061,1.31478673566298,2.41906874626927,0.599520138948483
2.69504609288011,1.33324615513514,2.36363906510494,0.573868816715193
2.81438932594689,1.36897008065768,2.42419009006079,0.60267709615648
2.77883358277484,1.36704291814801,2.42953439528282,0.595486048802452
2.84220868349785,1.42261104612333,2.44633713195566,0.610711947860618
2.83202868338255,1.35853195592488,2.38169164424635,0.58106464149976
2.81331477316513,1.38015361865227,2.442350347091,0.597324152877345
2.75928330349431,1.36947826750286,2.4395535924995,0.595733355201442
2.80283148664803,1.39917214823644,2.46014132067771,0.612563087444332
2.71472681048345,1.36542265441476,2.47233723720036,0.621154060841529
2.6642032468708,1.32970479265164,2.51648921441228,0.623970194347316
2.63666879154482,1.26953474403947,2.63868790342318,0.64750068846499
2.5392334476699,1.22976570989297,2.72392073019864,0.685923803259536
2.60184316941745,1.28184921090653,2.65575163115182,0.652967153934211
2.62983367063481,1.29541910580894,2.63298606815591,0.654342383051603
2.66009649876631,1.32807429740057,2.61770865832996,0.656315431840546
2.5454446457305,1.26885455214159,2.56669621952297,0.635920099479645
2.52027441327468,1.23908240788001,2.54890057035346,0.63669982388966
2.4478303188237,1.23499217104802,2.53351848779373,0.63669934395918
2.41636375252862,1.19681409075588,2.47901157115637,0.618246279519602
2.38054861357952,1.18803455603885,2.45751219949282,0.606203415410193
2.38541147603582,1.19023087476249,2.38750339256863,0.577539800918001
2.45893829009725,1.20913062123924,2.42549755293276,0.594519308299197
2.43656580323898,1.20749436429994,2.44879229405202,0.588521744181822
2.47996890596784,1.20480561622186,2.47672031379096,0.604623564142664
2.45685311516987,1.17281045231517,2.45699788270687,0.593967701889936
2.45943703268362,1.21941293250916,2.48601826542034,0.605330819432132
2.57293272346632,1.25803227912441,2.46221114698256,0.589317435285062
2.52241026538553,1.23502578143402,2.42994332420433,0.587103504058824
2.46144385559498,1.21242721120016,2.39600480862086,0.564622616610584
2.4415624230341,1.20410045160036,2.48795551508382,0.610320922179366
2.50016415344069,1.2493567949766,2.53464537572864,0.611562747564773
2.48440167591988,1.20597225217309,2.59056006998681,0.624624238633619
2.51259534234029,1.243057169421,2.61566529022861,0.629112497811383
2.38436830037462,1.17131606526789,2.66204250959664,0.629152199763456
2.44111177044085,1.21067266097329,2.65669735528096,0.63334853543389
2.45384736746991,1.22514359825444,2.67681713723339,0.640256927418683
2.45153833467906,1.2297129281618,2.60272635652446,0.60908284992775
2.42544022483258,1.2058539216033,2.5889451724038,0.619592874035352
2.4581825134354,1.24036537193439,2.68386229646078,0.651135690860975
2.44959933191264,1.22897887293379,2.66213896967025,0.647800340972603
2.4788284823905,1.22590542651432,2.6346053796746,0.656894042732576
2.5272838109976,1.23633563029464,2.64582473154722,0.641755151931479
